what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356596546856
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1356596583103
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356596593771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356596624232
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1356596632804
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356596634464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356596635980
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356596642053
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356597024946
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1356597028902
opened,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1356597030396
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1356597030700
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1356597036140
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1356597039026
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1356597039568
error,log,,,"Parser exception for D:\\MS-MT\\Research Project - I\\Android\\KyaBaatHai\\AndroidManifest.xml: The prefix ""android"" for attribute ""android:name"" associated with an element type ""uses-permission"" is not bound.",1356597039886
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1356597040134
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356597041140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356597044599
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1356597047020
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1356597047527
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1356597048248
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1356597056701
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1356597061327
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356597065467
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356597081126
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1356597084706
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1356597085970
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1356597088135
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1356597092361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356597094037
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356597096301
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356597103165
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356597103285
